;KONE»N… POÿADÕ SPAC 2008;;;;;;;;;;;;;;;;;;;;;;
;11. roËnÌk;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
po¯adÌ;p¯ÌjmenÌ;jmÈno;klub;11 nej;Krnov;2boj;TdJ;Goof·k;M.A.D.;St.Ves;éD;Klim;Bohum;Polom;Stonava;VC L;Paskov;M 60;Petrovice;Td»;celkem;;
76.;BOHM;Petr;;20;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;20;95;0
77.;KO»VARA;Jind¯ich;VELOSERVIS BRUNT¡L;19;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;19;95;0
78.;KURFUST;ZdenÏk;SKI KLUB KARVIN¡;19;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;19;95;0
79.;HOLEä;Ji¯Ì;CK HOBBY BOHUMÕN;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;19;95;0
80.;BRAND›S;Roman;ON ROAD RACING TEAM OLOMOUC;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;95;0
81.;PŸDA;Roman;;18;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;18;95;0
82.;HOLUäA;Ji¯Ì;;18;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;18;95;0
83.;SZCEZYGIEL;Jacek;GLIWICE;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;95;0
84.;NAVR¡TIL;Pavel;OSTRAVA - KR¡SN… POLE;17;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;17;95;0
85.;POL¡»EK;Michal;STAR¡ BÃL¡;17;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;17;95;0
86.;KRAJC;Radan;MADT SPORT KLAPKA;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;17;95;0
87.;PETÿÕ»EK;VladimÌr;CK ORLÕK ORLOV¡;16;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;16;95;0
88.;GREPL;Vincenc;MADT SPORT KLAPKA;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;16;95;0
89.;VYCHODIL;AntonÌn;;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;95;0
90.;HURNÕK;Pavel;HO F-M;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;95;0
91.;PAVI»;Ji¯Ì;BIKE SHOP;12;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;12;95;0
92.;C¡HLÕK;ZdenÏk;GOOFY OCIZ TEAM KRNOV;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;95;0
93.;MIKESKA;Petr;CPV KRNOV;12;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;12;95;0
94.;HNAIT;Aleö;DUKO R›MAÿOV;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;95;0
95.;RUBEä;Petr;LK MOKR… LAZCE;9;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;9;95;0
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Kategorie D;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
po¯adÌ;p¯ÌjmenÌ;jmÈno;klub;11 nej;Krnov;2boj;TdJ;Goof·k;M.A.D.;St.Ves;éD;Klim;Bohum;Polom;Stonava;VC L;Paskov;M 60;Petrovice;Td»;celkem;;
1.;ADAM»ÕK;Miroslav;CYKLOKRAMO SUCHDOL N.O.;492;38;40;40;38;36;0;0;36;0;0;68;38;34;80;38;40;526;48;1
2.;TOMAN;Vladislav;CYKLOKRAMO SUCHDOL N.O.;482;34;38;36;33;38;40;38;38;38;36;76;36;40;64;36;0;621;48;1
3.;KUBÕK;Josef;TJ KOLÕK BOHUMÕN;397;31;34;32;31;34;38;31;34;0;0;0;30;36;60;33;34;458;48;1
4.;MASN›;Milan;RACING OLEäN¡ F-M;350;0;0;0;0;0;0;0;40;40;38;80;40;0;72;40;0;350;48;1
5.;KNYTL;VojtÏch;CYKLOKRAMO SUCHDOL N.O.;329;0;33;33;0;0;0;0;31;0;34;0;31;33;66;32;36;329;48;1
6.;KOPE∆;Roman;EXTREME CYCLING KLUB TÿINEC;293;0;27;31;28;32;0;29;0;0;30;62;0;0;54;0;0;293;48;1
7.;HLAVATÕK;Ladislav;RACING OLEäN¡ F-M;290;0;0;0;30;0;0;36;32;0;0;66;34;0;58;34;0;290;48;1
8.;BAIER;Jan;TJ KOLÕK BOHUMÕN;176;0;0;0;0;0;34;0;0;0;33;0;33;38;0;0;38;176;48;1
9.;OC¡SEK;ZbynÏk;GOOFY OCIZ TEAM KRNOV;147;40;0;0;40;40;0;27;0;0;0;0;0;0;0;0;0;147;48;1
10.;TEäNAR;Tom·ö;YOGI RACING TEAM OSTRAVA;132;0;0;0;0;0;0;33;33;0;0;0;32;0;34;0;0;132;48;0
11.;ZDANOWICZ;Marek;GLIWICE;125;28;36;0;0;0;0;0;0;0;32;0;29;0;0;0;0;125;48;0
12.;KUZNÕK;Rostislav;HaF OPAVA;114;36;0;0;0;0;0;40;0;0;0;0;0;0;38;0;0;114;48;0
13.;LEPKA;V·clav;YOGI RACING TEAM OSTRAVA;113;25;0;0;0;0;0;0;0;0;29;0;0;0;28;0;31;113;48;0
14.;MRNŸäTÕK;Josef;CYKLOTECH-PRO a MAX RIDER;93;0;0;0;0;31;33;0;0;0;0;0;0;0;0;0;29;93;48;0
15.;OT›PKA;Jan;HaF OPAVA;92;29;0;0;0;0;0;32;0;0;0;0;0;0;31;0;0;92;48;0
16.;MISINA;Andrzej;BRIKCZIUCZ GOSIECIN;86;27;0;0;29;0;0;30;0;0;0;0;0;0;0;0;0;86;48;0
17.;BAçA;VladimÌr;KCK TEAM ZLÕN;76;0;0;0;36;0;0;0;0;0;40;0;0;0;0;0;0;76;48;0
18.;MOTTL;BohumÌr;TJ KOLÕK BOHUMÕN;67;33;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;67;48;0
19.;DANÃ»EK;Pavel;KRNOV;66;32;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;66;48;0
20.;WOJTYLA;Tadeusz;NIEZDROVICE;66;0;0;0;32;0;0;34;0;0;0;0;0;0;0;0;0;66;48;0
21.;ONDRUSZ;Josef;TJ Té TÿINEC;59;0;32;0;27;0;0;0;0;0;0;0;0;0;0;0;0;59;48;0
22.;MECNER;Bohumil;OSTRAVA -PORUBA;59;0;0;0;26;33;0;0;0;0;0;0;0;0;0;0;0;59;48;0
23.;LAZECK›;Petr;SC PUST¡ POLOM;56;0;0;0;0;0;0;0;0;0;31;0;0;0;25;0;0;56;48;0
24.;GOLEC;Wieslaw;GLIWICE;53;24;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;48;0
25.;RUCKI;Karel;TJ Té TÿINEC;38;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;38;48;0
26.;SEDL¡»EK;Ji¯Ì;SK JIÿÕ TEAM OSTRAVA;36;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;36;48;0
27.;HENZYK;Tomasz;CZESTOCHOVA;36;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;36;48;0
28.;KOHOUTEK;Vratislav;SUPERIOR KOPÿIVNICE;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;33;48;0
29.;PILECKI;Stanislav;;32;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;32;48;0
30.;PRASKI;Henrik;CZENSTOCHOWA;32;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;32;48;0
31.;SCHNEIDER;Rudolf;APOLLO äTRAMBERK;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;32;48;0
32.;SIKORA;Petr;SK äAFRATA BOHUMÕN;31;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;48;0
33.;GOLDMAN;JaromÌr;KRNOV;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;48;0
34.;BLUZCZ;ätefan;SZWIERKLANY;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;48;0
35.;LEGIERSKI;Ji¯Ì;TJ Té TÿINEC;30;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;30;48;0
