;KONEÈNÉ POØADÍ SPAC 2004;;;;;;;;;;;;;;;;;
;7. roèník;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;Bolat.;Kružb.;Bohum.;V.Pol.;TdJ;Kri;Èas.j.;Liptáò;Èas.dv.;VC VK;M 60;Bolat.;celkem;
3.;HALMOVÁ;Eva;CK ORLÍK ORLOVÁ;122;0;10;24;12;10;10;8;16;0;10;10;20;130;5
4.;UBLANSKÁ;Kamila;CK ORLÍK ORLOVÁ;95;12;12;16;8;8;8;7;14;10;0;0;0;95;5
5.;KEMPNÁ;Daniela;SK ŠAFRATA BOHUMÍN;84;0;0;30;10;0;0;12;20;12;0;0;0;84;5
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Kategorie M;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;Bolat.;Kružb.;Bohum.;V.Pol.;TdJ;Kri;Èas.j.;Liptáò;Èas.dv.;VC VK;M 60;Bolat.;celkem;
1.;ŠVIDRNOCH;Jakub;SK JIØÍ TEAM OSTRAVA;158;15;10;30;0;12;12;15;20;0;12;12;30;168;7
2.;HONÌK;Petr;YOGI RACING OSTRAVA;151;0;15;24;15;15;15;7;30;0;15;15;0;151;7
3.;FECENKO;Jan;CK ORLÍK ORLOVÁ;58;0;6;20;0;7;10;0;0;15;0;0;0;58;7
4.;RAJÈÁNI;Martin;TJ TŽ TØINEC;56;0;0;0;10;10;0;12;24;0;0;0;0;56;7
5.;TOMAN;Jiøí;ŽD BOHUMÍN;34;0;12;0;12;0;0;10;0;0;0;0;0;34;7
6.;ŠTÌRBA;Rostislav;ŽD BOHUMÍN;16;0;8;0;0;0;0;8;0;0;0;0;0;16;7
7.;SZMEK;Marcel;TJ TŽ TØINEC;15;0;7;0;0;8;0;0;0;0;0;0;0;15;7
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Družstva;;;;;;;;;;;;;;;;;
;klub;;;9 nej.;Bolat.;Kružb.;Bohum.;V.Pol.;TdJ;Kri;Èas.j.;Liptáò;Èas.dv.;VC VK;M 60;Bolat.;celkem;
